x,y,z
-9,9,-1011
-21,19,-1011
-15,23,-1020
-9,27,-1013
-9,17,-1020
-13,21,-1024
-9,23,-1016
-1,21,-1016
-15,31,-1015
-7,19,-1018
-13,15,-1020
-11,21,-1028
-7,23,-1018
-9,31,-1013
-9,35,-1024
-11,31,-1016
-13,19,-1018
-11,15,-1026
-25,21,-1022
-19,21,-1013
-19,9,-1018
0,17,-1015
-17,9,-1016
-9,25,-1016
-9,23,-1018
-17,9,-1026
-17,11,-1026
-11,15,-1018
-11,21,-1011
-19,31,-1015
-7,23,-1015
-17,21,-1007
-13,17,-1013
-21,25,-1013
-7,23,-1005
-15,31,-1011
-9,23,-1018
-17,21,-1018
-17,31,-1026
-17,29,-1007
-11,15,-1011
-9,25,-1016
-5,13,-1022
-15,19,-1020
-21,31,-1016
-7,29,-1013
7,15,-1009
-11,21,-1013
-21,17,-1020
-23,25,-1020
-19,39,-1015
-5,33,-1016
-11,15,-1015
-15,25,-1011
-9,29,-1007
-7,31,-1016
-13,29,-1024
-11,13,-1018
-13,17,-1015
-7,31,-1020
-9,31,-1015
-15,19,-1018
-13,25,-1018
-7,23,-1016
-13,27,-1015
-15,23,-1005
-9,27,-1015
-7,27,-1009
-15,19,-1015
-23,17,-1020
-17,15,-1015
-15,29,-1011
-9,25,-1013
-5,13,-1013
-13,21,-1015
-7,25,-1009
-3,21,-1009
0,23,-1011
19,23,-1020
25,21,-1005
39,33,-1016
29,-3,-1022
-17,19,-1040
-5,29,-1024
-40,13,-1032
-44,23,-1007
-19,25,-1001
-15,80,-1005
316,60,-895
275,25,-1020
411,40,-956
612,5,-976
835,80,-1093
911,-15,-1034
845,-19,-1182
1241,-15,-956
888,121,-1085
1161,15,-1067
1167,7,-977
1138,-5,-1034
1118,117,-1095
1040,99,-995
1173,-19,-966
1030,35,-970
1098,52,-884
946,54,-913
976,-3,-812
927,-56,-892
901,126,-1009
829,66,-968
813,-17,-942
886,-31,-983
823,76,-1081
880,-5,-1042
831,27,-1018
1018,117,-1054
940,144,-1179
1089,68,-1098
1050,-72,-1073
1138,-15,-1075
1057,140,-1138
1157,-19,-1077
1054,-56,-1030
1143,58,-1018
1095,257,-1126
1116,167,-1106
1159,-99,-1007
1143,-40,-1028
1139,150,-1091
1106,115,-1091
1145,-25,-909
1128,-74,-894
1188,134,-993
1163,142,-938
1245,-25,-884
1245,-13,-974
1116,122,-1054
1157,0,-997
1079,-40,-929
1132,-19,-909
1032,154,-991
1110,206,-921
1061,0,-931
1239,-25,-958
1151,201,-1075
1255,101,-1077
1141,-52,-999
1235,-50,-946
1120,97,-1059
1157,87,-1001
1077,78,-954
1196,9,-976
1141,245,-1097
1253,95,-1061
1218,-3,-1044
1315,-31,-1054
1257,111,-1180
1235,42,-1046
1341,-5,-878
1526,-72,-913
1276,273,-1116
1421,91,-1050
1102,11,-1067
1442,-191,-1067
1011,80,-1118
1376,-15,-897
1165,-23,-860
1342,9,-825
1182,103,-1075
1210,19,-1077
1200,-39,-1077
1264,-25,-1003
1366,245,-993
1280,-81,-903
1227,-87,-905
1424,-15,-915
1210,236,-1112
1235,74,-1145
1011,85,-1089
1348,-46,-933
1122,312,-1093
1442,122,-858
1141,-134,-981
1344,-138,-917
1241,124,-1153
1210,230,-1087
1296,189,-1026
1284,163,-880
1202,-68,-970
1266,-222,-1075
1149,-39,-987
1323,93,-897
1190,542,-1022
1348,11,-1091
1184,-144,-1052
1467,-19,-909
1108,259,-1120
1378,171,-1057
1303,-308,-968
1155,29,-894
1165,117,-1005
1251,128,-1079
1143,-13,-974
1288,-111,-966
1124,187,-976
1331,54,-1067
1311,142,-936
1257,-42,-968
1110,19,-1046
1141,-9,-1200
921,-134,-944
954,-134,-956
940,81,-999
659,242,-1044
659,267,-974
513,-58,-935
499,-17,-1081
402,-257,-938
409,87,-956
386,46,-862
212,327,-1032
283,220,-1020
66,-9,-1106
-68,-247,-1122
-187,-39,-1038
-193,15,-977
-191,222,-964
-136,5,-985
-128,66,-999
-146,312,-1098
-119,-70,-1218
-97,46,-1116
-152,-117,-1048
-121,39,-1018
-589,111,-958
-700,-95,-1030
-1247,-52,-1200
-550,142,-884
-1407,-13,-1046
-1290,-56,-921
-1013,-3,-819
-1821,199,-1052
-1223,-64,-831
-1674,122,-985
-1239,-193,-878
-1715,195,-1116
-1042,-15,-800
-1532,-15,-1057
-923,-33,-942
-1216,138,-1048
-1036,44,-1210
-882,72,-1102
-927,-226,-1192
-936,17,-1147
-813,54,-1065
-718,210,-901
-815,167,-1038
-661,138,-974
-581,-13,-1003
-931,54,-1034
-546,-169,-952
-1018,214,-1001
-610,-40,-774
-1034,-105,-946
-851,25,-874
-997,124,-979
-753,115,-960
-1130,-1,-1034
-950,-404,-1028
-1054,210,-1001
-1065,93,-938
-1235,144,-1016
-1032,-3,-911
-1253,54,-983
-1116,-121,-1061
-1223,89,-1139
-991,-294,-1093
-1190,152,-1233
-1114,58,-1085
-1319,-44,-1157
-1028,-275,-1032
-1274,216,-1061
-1149,162,-1044
-1364,99,-1317
-868,-89,-1106
-1424,220,-1186
-856,40,-913
-1214,-50,-1052
-987,-359,-1001
-1280,27,-1020
-1009,302,-909
-1395,294,-1104
-1179,-222,-1059
-1329,40,-876
-1247,-111,-1001
-1147,162,-915
-1286,-121,-950
-1110,294,-1054
-1116,398,-919
-1227,-255,-853
-1276,-316,-1141
-1317,121,-952
-1305,167,-907
-1413,140,-919
-1173,-316,-1077
-1460,257,-976
-1317,281,-913
-1411,-37,-1024
-1167,-261,-1091
-1368,72,-1075
-1130,230,-1011
-1268,181,-1026
-1132,-126,-1067
-1272,95,-1120
-1229,113,-1087
-1253,-56,-1087
-1104,-126,-1056
-1210,111,-1087
-1282,117,-1005
-1208,-54,-970
-1218,-113,-1124
-1434,175,-1145
-1221,62,-956
-1255,-103,-954
-1059,-167,-911
-1432,138,-1118
-1149,249,-894
-1309,95,-1100
-835,-245,-1097
-1315,66,-1159
-1032,-52,-882
-1339,-122,-981
-1073,-134,-954
-1380,136,-1077
-1116,210,-1007
-1313,142,-1073
-929,-140,-1003
-1098,17,-1048
-819,19,-917
-938,13,-940
-651,-83,-976
-897,222,-1136
-650,103,-1056
-849,-25,-1061
-523,-162,-1042
-753,87,-1104
-515,54,-944
-642,-46,-1005
-392,-1,-999
-521,175,-1079
-372,158,-1005
-423,9,-985
-206,-101,-936
-294,44,-976
-206,72,-944
-257,3,-966
-70,-29,-987
-148,113,-1085
-21,81,-1042
-115,-46,-1036
31,-81,-989
-25,37,-1048
-17,101,-1028
-64,62,-1057
-23,33,-1005
-66,52,-1056
-56,11,-1001
-66,-37,-985
11,-42,-950
105,50,-960
99,99,-1048
204,72,-1030
181,-25,-1022
370,25,-1087
316,31,-1054
193,-72,-1118
331,37,-1054
208,44,-1022
121,52,-1075
216,128,-993
-48,11,-1079
115,15,-1024
-11,3,-999
-167,-35,-989
-95,39,-972
-187,91,-810
-50,-25,-1054
-275,191,-972
-148,21,-964
-298,64,-1056
-76,5,-1001
-210,-9,-1046
-85,54,-1046
-499,142,-1192
-175,-54,-1063
-398,48,-1073
-802,-11,-1040
-790,-31,-1059
-735,238,-1054
-534,136,-866
-1114,-35,-1028
-716,46,-977
-710,-35,-964
-964,21,-1081
-630,25,-905
-862,126,-1011
-560,44,-1059
-730,19,-1040
-488,-70,-979
-527,33,-1149
-394,158,-1134
-392,39,-1073
-253,-58,-1069
-206,-19,-1024
-273,3,-1036
-245,-9,-993
-169,19,-977
-312,78,-1015
-302,91,-964
-296,13,-892
-257,-40,-882
-99,42,-884
-85,115,-933
113,3,-890
144,-3,-974
325,62,-1028
368,-48,-946
138,-93,-1141
484,5,-991
251,13,-981
240,-29,-1114
343,83,-995
148,23,-1026
263,72,-1059
185,72,-1071
121,-95,-1106
142,99,-958
52,-3,-976
-37,-31,-1054
-68,76,-962
-99,29,-991
-150,21,-1093
-144,9,-1065
-144,-66,-1036
-177,-9,-1073
-167,35,-1065
-144,27,-1087
-169,44,-1095
-148,37,-1069
-144,-23,-1087
-126,64,-1061
-111,-15,-1057
-158,3,-1056
-109,23,-1046
-117,46,-1046
-83,60,-1024
-89,42,-1011
-78,31,-1005
-68,35,-1011
-64,64,-991
-68,56,-991
-56,66,-968
-44,39,-960
-50,21,-954
-27,29,-938
-58,40,-942
-40,52,-938
-62,33,-942
-50,46,-933
-60,52,-954
-60,95,-974
-31,46,-991
-58,62,-985
-42,42,-979
-64,17,-1007
-39,37,-1011
-66,31,-1032
-29,23,-1038
-60,56,-1048
-1,-5,-1046
-40,13,-1050
25,13,-1042
-17,17,-1067
19,25,-1054
9,-27,-1065
27,48,-1061
25,15,-1059
15,7,-1057
33,13,-1059
25,-3,-1054
33,-3,-1048
37,-15,-1034
25,7,-1030
72,-5,-1016
0,0,-1009
54,-27,-1007
3,-9,-1001
42,13,-977
-9,-13,-1007
-1,29,-991
-7,-35,-1013
-40,68,-1001
9,-17,-997
-66,1,-1005
-3,39,-987
-48,-5,-1018
-58,111,-1005
-44,3,-1028
-78,52,-1015
-31,11,-1009
-78,23,-1038
-23,46,-1001
-64,37,-1028
-39,85,-1020
-33,17,-1028
-56,66,-1030
-13,27,-1028
